ip,time,method,path,status,size,referrer,user_agent,anomalous,category
95.81.118.56,2019-01-22 03:59:11.113,GET,/filter/b481%2Cb874%2Cb32%2Cb67%2Cb36%2Cb226%2Cb41%2Cb136%2Cb570%2Cb598%2Cb180%2Cb615%2Cb168%2Cb648%2Cb103%2Cb213%2Cb597%2Cb724%2Cb613%2Cb135%2Cb877%2Cb183%2Cb497%2Cb435%2Cb194%2Cb1%2Cb861%2Cb256%2Cb854%2Cb198%2Cb647%2Cb679%2Cb88%2Cb441%2Cb6%2Cb880%2Cb221%2Cb645%2Cb219?page=3,304,118293,https://www.zanbil.ir/m/filter/p3?page=2,"Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",0,not anomalous
51.15.15.54,2019-01-22 03:59:11.261,GET,/image/26352?name=gandulita-plegable-nippy.jpg&wh=200x200,302,171298,https://www.zanbil.ir/m/filter/p5767%2Ct156?name=%D9%85%D8%A7%D8%B4%DB%8C%D9%86-%D8%A7%D8%B5%D9%84%D8%A7%D8%AD&productType=electric-shavers,"Mozilla/5.0 (Linux; Android 6.0.1; SM-N915F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",0,not anomalous
66.249.83.5,2019-01-22 03:59:11.427,GET,/filter/588%7C3%20%D9%84%DB%8C%D8%AA%D8%B1%2Cp10%2C588%7C1.5%20%D9%84%DB%8C%D8%AA%D8%B1?o=588,200,123532,https://www.zanbil.ir/m/filter/p62?page=1,Dalvik/2.1.0 (Linux; U; Android 5.0.2; SM-A300H Build/LRX22G),0,not anomalous
5.123.209.223,2019-01-22 03:59:11.725,GET,/product/4423?model=2194,404,45441,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b1,p1?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D",Mozilla/5.0 (Windows NT 6.2; Win64; x64; rv:16.0)Gecko/16.0 Firefox/16.0,0,not anomalous
5.127.80.240,2019-01-22 03:59:12.097,GET,/image/8727/specialSale?role=e3,404,149265,"https://www-zanbil-ir.cdn.ampproject.org/v/s/www.zanbil.ir/m/filter/b215,p9?amp_js_v=0.1&usqp=mq331AQECAEoAQ%3D%3D","Mozilla/5.0 (Linux; Android 8.0.0; SAMSUNG SM-G950F Build/R16NW) AppleWebKit/537.36 (KHTML, like Gecko) SamsungBrowser/8.2 Chrome/63.0.3239.111 Mobile Safari/537.36",0,not anomalous
66.111.54.249,2019-01-22 03:59:12.420,GET,/filter?f=p12250&page=2,304,5611,https://www.zanbil.ir/login/auth,"Mozilla/5.0 (Linux; Android 8.0.0; SM-J810F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",0,not anomalous
54.36.148.237,2019-01-22 03:59:12.875,GET,"/m/filter/b1,b103,b125,b126,b183,b186,b188,b192,b194,b198,b20,b202,b209,b215,b216,b218,b226,b231,b236,b238,b249,b256,b261,b270,b3,b32,b35,b36,b41,b481,b50,b523,b542,b548,b570,b573,b596,b598,b6,b613,b619,b647,b651,b67,b701,b723,b74,b795,b874,b880,b882,b883,b890,b95,b99,stexists",301,50442,https://www.zanbil.ir/m/filter/b113,"Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.98 Safari/537.36",0,not anomalous
54.36.148.117,2019-01-22 03:59:13.323,GET,/image/62449/productModel/200x200,304,46277,https://www.zanbil.ir/m/filter/b99%2Cp4510%2Cstexists%2Ct116,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/535.7(KHTML, like Gecko) Chrome/16.0.912.36 Safari/535.7",0,not anomalous
178.253.33.51,2019-01-22 03:59:13.782,GET,/image/63875/productModel/200x200,301,16644,https://www.zanbil.ir/m/filter/b113,torob/5 CFNetwork/976 Darwin/18.2.0,0,not anomalous
5.115.150.169,2019-01-22 03:59:14.016,GET,/image/32745?name=ms506-14.jpg&wh=200x200,301,85120,https://www.zanbil.ir/m/filter/p1233?page=1,"Mozilla/5.0 (Linux; Android 6.0.1; SM-N915F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/71.0.3578.99 Mobile Safari/537.36",0,not anomalous
